epoch,accuracy,loss,val_accuracy,val_loss
0,0.37420424818992615,1.3254752159118652,0.47262248396873474,1.2603888511657715
1,0.6454470157623291,0.9699870347976685,0.6541786789894104,0.9175868034362793
2,0.7902020215988159,0.5840653777122498,0.6858789920806885,0.7913491129875183
3,0.8505397439002991,0.4208036959171295,0.7031700015068054,0.7748324871063232
4,0.8765568733215332,0.3390125036239624,0.7060518860816956,0.8189738392829895
5,0.8975920081138611,0.2818591296672821,0.6974063515663147,0.8535391092300415
6,0.9197342991828918,0.2320859432220459,0.680115282535553,0.9404381513595581
7,0.9349570870399475,0.1979806125164032,0.6916426420211792,0.9838747382164001
8,0.9487960338592529,0.1626814305782318,0.6916426420211792,1.0489680767059326
9,0.9584832787513733,0.14649027585983276,0.680115282535553,1.1104809045791626
10,0.9642956256866455,0.12969546020030975,0.6714697480201721,1.1463289260864258
11,0.9667866230010986,0.1183718740940094,0.6685879230499268,1.196251630783081
12,0.9670633673667908,0.10858433693647385,0.6685879230499268,1.2535797357559204
13,0.972045361995697,0.09880787134170532,0.6743515729904175,1.2523634433746338
14,0.971491813659668,0.0929461270570755,0.6829971075057983,1.3368101119995117
15,0.973429262638092,0.09184873104095459,0.6772334575653076,1.3390191793441772
16,0.975089967250824,0.08456236124038696,0.6714697480201721,1.390116810798645
17,0.975089967250824,0.08376366645097733,0.6829971075057983,1.4414077997207642
18,0.975643515586853,0.07681708037853241,0.6772334575653076,1.4393988847732544
19,0.9773041605949402,0.07579030841588974,0.6829971075057983,1.449666976928711
20,0.975643515586853,0.07593417912721634,0.6743515729904175,1.4713364839553833
21,0.9781345129013062,0.06457348167896271,0.6628242135047913,1.5249568223953247
22,0.9781345129013062,0.06980523467063904,0.6858789920806885,1.5209076404571533
23,0.9759202599525452,0.0641089677810669,0.6599423885345459,1.573664903640747
24,0.9778577089309692,0.06281398981809616,0.6570605039596558,1.5728449821472168
